"Date(UTC)","UnixTimeStamp","No. of ERC20 Token Transfers"
"2015-07-30","1438214400","0"
"2015-07-31","1438300800","0"
"2015-08-01","1438387200","0"
"2015-08-02","1438473600","0"
"2015-08-03","1438560000","0"
"2015-08-04","1438646400","0"
"2015-08-05","1438732800","0"
"2015-08-06","1438819200","0"
"2015-08-07","1438905600","0"
"2015-08-08","1438992000","0"
"2015-08-09","1439078400","0"
"2015-08-10","1439164800","0"
"2015-08-11","1439251200","0"
"2015-08-12","1439337600","0"
"2015-08-13","1439424000","0"
"2015-08-14","1439510400","0"
"2015-08-15","1439596800","0"
"2015-08-16","1439683200","0"
"2015-08-17","1439769600","0"
"2015-08-18","1439856000","0"
"2015-08-19","1439942400","0"
"2015-08-20","1440028800","0"
"2015-08-21","1440115200","0"
"2015-08-22","1440201600","0"
"2015-08-23","1440288000","0"
"2015-08-24","1440374400","0"
"2015-08-25","1440460800","0"
"2015-08-26","1440547200","0"
"2015-08-27","1440633600","0"
"2015-08-28","1440720000","0"
"2015-08-29","1440806400","0"
"2015-08-30","1440892800","0"
"2015-08-31","1440979200","0"
"2015-09-01","1441065600","0"
"2015-09-02","1441152000","0"
"2015-09-03","1441238400","0"
"2015-09-04","1441324800","0"
"2015-09-05","1441411200","0"
"2015-09-06","1441497600","0"
"2015-09-07","1441584000","0"
"2015-09-08","1441670400","0"
"2015-09-09","1441756800","0"
"2015-09-10","1441843200","0"
"2015-09-11","1441929600","0"
"2015-09-12","1442016000","0"
"2015-09-13","1442102400","0"
"2015-09-14","1442188800","0"
"2015-09-15","1442275200","0"
"2015-09-16","1442361600","0"
"2015-09-17","1442448000","0"
"2015-09-18","1442534400","0"
